NL:     020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,              ,                             ,            10.900  ,   OTHER                          ,0
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 06      , Floor 06                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 07      , Floor 07                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 08      , Floor 08                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 09      , Floor 09                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 10      , Floor 10                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 11      , Floor 11                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         43.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.55
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            21.140  ,   Walls - 4th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            21.150  ,   Walls - 5th Coat Finish        ,         60.46
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,          6.56
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         61.48
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            26.110  ,   Floor Sealer                   ,           .60
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 12      , Floor 12                               ,            50.600  ,   Caulking Windows & Doors       ,          3.33
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         46.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         34.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         58.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            21.140  ,   Walls - 4th Coat Finish        ,         58.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            21.150  ,   Walls - 5th Coat Finish        ,         58.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         12.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         22.00

NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            26.110  ,   Floor Sealer                   ,0
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 13      , Floor 13                               ,            50.600  ,   Caulking Windows & Doors       ,          4.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            20.110  ,   Walls/DW Ceiling - Prime       ,         26.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            21.120  ,   Walls - 2nd Coat Finish        ,         18.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            21.130  ,   Walls - 3rd Coat Finish        ,         32.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL 14       , Floor 14                               ,            21.140  ,   Walls - 4th Coat Finish        ,         32.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            21.150  ,   Walls - 5th Coat Finish        ,         32.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            22.120  ,   DW Ceiling - 2nd & erd Finish  ,         10.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            22.125  ,   Exp Ceiling - 1st/2nd Dryfall  ,         12.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            26.110  ,   Floor Sealer                   ,0
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            50.600  ,   Caulking Windows & Doors       ,          2.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            60.200  ,   Sizing                         ,0
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   FL14       , Floor 14                               ,            60.500  ,   Wallcovering                   ,         46.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   ST 01      , Stair Tower 01                         ,            21.140  ,   Walls - 4th Coat Finish        ,         16.40
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   ST 01      , Stair Tower 01                         ,            50.800  ,   Stair Metal                    ,        104.00
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   ST 02      , Stair Tower 02                         ,            21.140  ,   Walls - 4th Coat Finish        ,         24.73
NL:      020.20.3  ,  1770 Crystal Drive Tenant Impr                     ,01, =    , 01, = ,   ST 02      , Stair Tower 02                         ,            50.800  ,   Stair Metal                    ,        112.00
